method,backend,precision,input_bits,seed,run_id,top1,top5,latency_ms,throughput,total_samples,latency_std
ptq,pytorch,fp16,1,seed_1,torch_ptq_fp16_b1_cuda,69.72,89.38,3.006,332.7,4970,1.244
ptq,pytorch,fp32,1,seed_1,torch_ptq_fp32_b1_cuda,69.68,89.38,2.968,337.0,4970,1.244
ptq,pytorch,fp16,2,seed_1,torch_ptq_fp16_b2_cuda,76.94,93.08,3.063,326.5,4970,1.244
ptq,pytorch,fp32,2,seed_1,torch_ptq_fp32_b2_cuda,76.88,93.08,2.968,337.0,4970,1.244
ptq,pytorch,fp16,4,seed_1,torch_ptq_fp16_b4_cuda,78.41,93.64,3.054,327.5,4970,1.244
ptq,pytorch,fp32,4,seed_1,torch_ptq_fp32_b4_cuda,78.43,93.68,3.102,322.3,4970,1.244
ptq,pytorch,fp16,8,seed_1,torch_ptq_fp16_b8_cuda,77.87,93.38,3.042,328.7,4970,1.244
ptq,pytorch,fp32,8,seed_1,torch_ptq_fp32_b8_cuda,77.85,93.4,3.074,325.4,4970,1.244
ptq,tensorrt,fp16,1,seed_1,trt_ptq_fp16_b1_cuda,69.68,89.38,0.477,2097.8,4970,0.136
ptq,tensorrt,fp32,1,seed_1,trt_ptq_fp32_b1_cuda,69.7,89.38,0.949,1054.2,4970,0.136
ptq,tensorrt,fp8,1,seed_1,trt_ptq_fp8_b1_cuda,69.52,89.38,0.632,1583.3,4970,0.276
ptq,tensorrt,int4,1,seed_1,trt_ptq_int4_b1_cuda,68.95,89.15,0.496,2017.8,4970,0.276
ptq,tensorrt,int8,1,seed_1,trt_ptq_int8_b1_cuda,69.32,89.5,0.709,1411.0,4970,0.276
ptq,tensorrt,fp16,2,seed_1,trt_ptq_fp16_b2_cuda,76.9,93.08,0.491,2035.7,4970,0.136
ptq,tensorrt,fp32,2,seed_1,trt_ptq_fp32_b2_cuda,76.9,93.06,0.959,1043.3,4970,0.136
ptq,tensorrt,fp8,2,seed_1,trt_ptq_fp8_b2_cuda,76.78,93.1,0.624,1603.1,4970,0.276
ptq,tensorrt,int4,2,seed_1,trt_ptq_int4_b2_cuda,76.46,92.82,0.479,2086.0,4970,0.276
ptq,tensorrt,int8,2,seed_1,trt_ptq_int8_b2_cuda,76.6,93.1,0.734,1362.8,4970,0.276
ptq,tensorrt,fp16,4,seed_1,trt_ptq_fp16_b4_cuda,78.43,93.64,0.473,2112.6,4970,0.136
ptq,tensorrt,fp32,4,seed_1,trt_ptq_fp32_b4_cuda,78.43,93.66,0.941,1062.6,4970,0.136
ptq,tensorrt,fp8,4,seed_1,trt_ptq_fp8_b4_cuda,78.61,93.64,0.677,1477.6,4970,0.276
ptq,tensorrt,int4,4,seed_1,trt_ptq_int4_b4_cuda,78.51,93.54,0.5,2001.0,4970,0.276
ptq,tensorrt,int8,4,seed_1,trt_ptq_int8_b4_cuda,78.49,93.64,0.756,1322.9,4970,0.276
ptq,tensorrt,fp16,8,seed_1,trt_ptq_fp16_b8_cuda,77.87,93.4,0.47,2125.5,4970,0.136
ptq,tensorrt,fp32,8,seed_1,trt_ptq_fp32_b8_cuda,77.87,93.38,0.954,1048.5,4970,0.136
ptq,tensorrt,fp8,8,seed_1,trt_ptq_fp8_b8_cuda,77.71,93.42,0.627,1596.0,4970,0.276
ptq,tensorrt,int4,8,seed_1,trt_ptq_int4_b8_cuda,77.71,93.34,0.49,2042.2,4970,0.276
ptq,tensorrt,int8,8,seed_1,trt_ptq_int8_b8_cuda,77.65,93.28,0.642,1558.4,4970,0.276
ptq,pytorch,fp16,1,seed_2,torch_ptq_fp16_b1_cuda,69.92,89.62,3.123,320.2,4970,1.244
ptq,pytorch,fp32,1,seed_2,torch_ptq_fp32_b1_cuda,69.94,89.62,2.994,334.0,4970,1.244
ptq,pytorch,fp16,2,seed_2,torch_ptq_fp16_b2_cuda,77.28,93.16,3.126,319.8,4970,1.244
ptq,pytorch,fp32,2,seed_2,torch_ptq_fp32_b2_cuda,77.26,93.16,2.962,337.6,4970,1.244
ptq,pytorch,fp16,4,seed_2,torch_ptq_fp16_b4_cuda,77.93,93.74,3.104,322.1,4970,1.244
ptq,pytorch,fp32,4,seed_2,torch_ptq_fp32_b4_cuda,77.97,93.74,3.078,324.9,4970,1.244
ptq,pytorch,fp16,8,seed_2,torch_ptq_fp16_b8_cuda,77.99,93.84,3.101,322.4,4970,1.244
ptq,pytorch,fp32,8,seed_2,torch_ptq_fp32_b8_cuda,78.01,93.84,2.969,336.9,4970,1.244
ptq,tensorrt,fp16,1,seed_2,trt_ptq_fp16_b1_cuda,69.96,89.62,0.473,2115.1,4970,0.136
ptq,tensorrt,fp32,1,seed_2,trt_ptq_fp32_b1_cuda,69.94,89.62,0.943,1060.2,4970,0.136
ptq,tensorrt,fp8,1,seed_2,trt_ptq_fp8_b1_cuda,69.98,89.66,0.646,1548.7,4970,0.276
ptq,tensorrt,int4,1,seed_2,trt_ptq_int4_b1_cuda,69.07,89.56,0.49,2039.6,4970,0.276
ptq,tensorrt,int8,1,seed_2,trt_ptq_int8_b1_cuda,69.6,89.64,0.734,1362.4,4970,0.276
ptq,tensorrt,fp16,2,seed_2,trt_ptq_fp16_b2_cuda,77.26,93.14,0.487,2051.3,4970,0.136
ptq,tensorrt,fp32,2,seed_2,trt_ptq_fp32_b2_cuda,77.26,93.14,0.947,1055.5,4970,0.136
ptq,tensorrt,fp8,2,seed_2,trt_ptq_fp8_b2_cuda,76.98,93.42,0.63,1587.5,4970,0.276
ptq,tensorrt,int4,2,seed_2,trt_ptq_int4_b2_cuda,77.14,93.34,0.492,2034.3,4970,0.276
ptq,tensorrt,int8,2,seed_2,trt_ptq_int8_b2_cuda,77.24,93.3,0.638,1566.3,4970,0.276
ptq,tensorrt,fp16,4,seed_2,trt_ptq_fp16_b4_cuda,77.95,93.74,0.466,2147.0,4970,0.136
ptq,tensorrt,fp32,4,seed_2,trt_ptq_fp32_b4_cuda,77.95,93.74,0.943,1060.0,4970,0.136
ptq,tensorrt,fp8,4,seed_2,trt_ptq_fp8_b4_cuda,77.85,93.74,0.624,1603.1,4970,0.276
ptq,tensorrt,int4,4,seed_2,trt_ptq_int4_b4_cuda,77.73,93.66,0.491,2035.9,4970,0.276
ptq,tensorrt,int8,4,seed_2,trt_ptq_int8_b4_cuda,77.95,93.72,0.705,1418.6,4970,0.276
ptq,tensorrt,fp16,8,seed_2,trt_ptq_fp16_b8_cuda,78.01,93.84,0.472,2117.6,4970,0.136
ptq,tensorrt,fp32,8,seed_2,trt_ptq_fp32_b8_cuda,78.01,93.86,0.952,1049.9,4970,0.136
ptq,tensorrt,fp8,8,seed_2,trt_ptq_fp8_b8_cuda,78.07,93.76,0.645,1551.3,4970,0.276
ptq,tensorrt,int4,8,seed_2,trt_ptq_int4_b8_cuda,77.61,93.66,0.497,2013.1,4970,0.276
ptq,tensorrt,int8,8,seed_2,trt_ptq_int8_b8_cuda,78.19,93.92,0.705,1418.1,4970,0.276
ptq,pytorch,fp16,1,seed_42,torch_ptq_fp16_b1_cuda,69.01,89.44,3.067,326.1,4970,1.244
ptq,pytorch,fp32,1,seed_42,torch_ptq_fp32_b1_cuda,69.03,89.42,2.979,335.7,4970,1.244
ptq,pytorch,fp16,2,seed_42,torch_ptq_fp16_b2_cuda,76.44,93.18,3.036,329.4,4970,1.244
ptq,pytorch,fp32,2,seed_42,torch_ptq_fp32_b2_cuda,76.44,93.18,3.023,330.8,4970,1.244
ptq,pytorch,fp16,4,seed_42,torch_ptq_fp16_b4_cuda,78.65,93.54,3.103,322.3,4970,1.244
ptq,pytorch,fp32,4,seed_42,torch_ptq_fp32_b4_cuda,78.61,93.54,3.066,326.2,4970,1.244
ptq,pytorch,fp16,8,seed_42,torch_ptq_fp16_b8_cuda,78.07,93.52,3.001,333.2,4970,1.244
ptq,pytorch,fp32,8,seed_42,torch_ptq_fp32_b8_cuda,78.11,93.5,3.087,324.0,4970,1.244
ptq,tensorrt,fp16,1,seed_42,trt_ptq_fp16_b1_cuda,69.03,89.42,0.475,2103.6,4970,0.136
ptq,tensorrt,fp32,1,seed_42,trt_ptq_fp32_b1_cuda,69.03,89.42,0.931,1074.4,4970,0.136
ptq,tensorrt,fp8,1,seed_42,trt_ptq_fp8_b1_cuda,68.99,89.6,0.634,1576.4,4970,0.276
ptq,tensorrt,int4,1,seed_42,trt_ptq_int4_b1_cuda,68.17,89.38,0.496,2016.2,4970,0.276
ptq,tensorrt,int8,1,seed_42,trt_ptq_int8_b1_cuda,68.99,89.36,0.732,1367.0,4970,0.276
ptq,tensorrt,fp16,2,seed_42,trt_ptq_fp16_b2_cuda,76.44,93.2,0.474,2111.6,4970,0.136
ptq,tensorrt,fp32,2,seed_42,trt_ptq_fp32_b2_cuda,76.42,93.2,0.934,1070.8,4970,0.136
ptq,tensorrt,fp8,2,seed_42,trt_ptq_fp8_b2_cuda,76.3,93.26,0.647,1545.9,4970,0.276
ptq,tensorrt,int4,2,seed_42,trt_ptq_int4_b2_cuda,75.75,93.08,0.483,2070.6,4970,0.276
ptq,tensorrt,int8,2,seed_42,trt_ptq_int8_b2_cuda,76.38,93.3,0.685,1459.8,4970,0.276
ptq,tensorrt,fp16,4,seed_42,trt_ptq_fp16_b4_cuda,78.65,93.52,0.475,2103.1,4970,0.136
ptq,tensorrt,fp32,4,seed_42,trt_ptq_fp32_b4_cuda,78.65,93.54,0.958,1044.1,4970,0.136
ptq,tensorrt,fp8,4,seed_42,trt_ptq_fp8_b4_cuda,78.65,93.54,0.646,1548.6,4970,0.276
ptq,tensorrt,int4,4,seed_42,trt_ptq_int4_b4_cuda,78.27,93.22,0.501,1994.5,4970,0.276
ptq,tensorrt,int8,4,seed_42,trt_ptq_int8_b4_cuda,78.61,93.42,0.695,1439.5,4970,0.276
ptq,tensorrt,fp16,8,seed_42,trt_ptq_fp16_b8_cuda,78.09,93.52,0.518,1931.0,4970,0.136
ptq,tensorrt,fp32,8,seed_42,trt_ptq_fp32_b8_cuda,78.07,93.5,0.959,1043.0,4970,0.136
ptq,tensorrt,fp8,8,seed_42,trt_ptq_fp8_b8_cuda,78.05,93.52,0.648,1543.5,4970,0.276
ptq,tensorrt,int4,8,seed_42,trt_ptq_int4_b8_cuda,78.03,93.4,0.479,2086.0,4970,0.276
ptq,tensorrt,int8,8,seed_42,trt_ptq_int8_b8_cuda,77.75,93.38,0.671,1490.6,4970,0.276
